baselineId	groupId	unitNo	sequenceNo	section	title	pageStart	pageEnd	extractionMode	pdfMd5	risk	status	disposition	reviewer	reviewedAt	correctionCount	evidence	notes
pepj7b-005	pepj7b	4	5	Section A	John's First Day at School	30	30	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj7b-005	逐行对照PDF第30页；保留2d完整八轮对话，排除2a-2c练习，恢复说话人换行、标题与Section A，应用后整篇复读通过。
pepj7b-006	pepj7b	4	6	Section B	Molly and Dr. Know's Letters	33	33	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	7	content/pep-english/reviewed-corrections.json#pepj7b-006	逐行对照PDF第33页；按左栏求助信、右栏回信恢复完整顺序及称呼落款，排除2a/2c，修复截断和栏序，应用后两封信复读通过。
pepj7b-007	pepj7b	5	7	Section B	Let's Save the Elephants	39	39	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj7b-007	逐行对照PDF第39页；选择2b正确标题，删除四个标题选项及2a/2c练习，保留网站文章三段并复核数字、引语与结尾。
pepj7b-008	pepj7b	6	8	Section B	Number the sentences in	43	43	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj7b-008	逐页核对PDF第43页；内容为Grammar Focus、3a造句、3b排序对话和3c小组活动，不属于完整语篇，已删除。
pepj7b-009	pepj7b	6	9	Section B	Zhu Hui's Dragon Boat Festival	45	45	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj7b-009	逐行对照PDF第45页；保留TV report两段，排除2a时区问答、2b问题和2c练习，修复标题、Section及截断结尾引语，应用后复读通过。
pepj7b-010	pepj7b	8	10	Reading	Take turns to	55	55	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj7b-010	逐页核对PDF第55页；内容为Grammar Focus、地图问答、造句和猜地点活动，不属于完整语篇，已删除。
pepj7b-011	pepj7b	9	11	Section B	An Interesting Job	63	63	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	4	content/pep-english/reviewed-corrections.json#pepj7b-011	逐行对照PDF第63页；标题仅保留为元数据，恢复报纸文章两段和两处引语，排除2a/2c，应用后整篇复读通过。
pepj7b-012	pepj7b	10	12	Section B	Birthday Food Around the World	69	69	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj7b-012	逐行对照PDF第69页；标题仅作元数据，恢复四段正文、If he断词和完整末段，修正Section B并排除2a/表格/2c，应用后复读通过。
pepj7b-013	pepj7b	11	13	Section B	Helen and Jim's School Trip Diaries	75	75	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	7	content/pep-english/reviewed-corrections.json#pepj7b-013	逐行核对第75页左右两栏日记；恢复两篇完整正文与日期，修正栏序、标题和Section，排除2a、2b指令/问题及2c表格。
pepj7b-014	pepj7b	12	14	Section B	A Weekend to Remember	81	81	ocr	9336b53d5a44f9244f62f6fb10720914	high	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj7b-014	逐行核对第81页；恢复三段正文及第三段跨栏续文，修正栏序和Section，排除2a、2b问题及2c练习。
pepj8a-001	pepj8a	1	1	Section B	Jane's Vacation Diaries	16	16	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	8	content/pep-english/reviewed-corrections.json#pepj8a-001	逐行核对第16页；恢复两篇带日期日记，修复连字与断词，修正标题和Section，排除2a及2b指令/问题。
pepj8a-002	pepj8a	1	2	Section A	tried paragliding	17	17	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-002	逐项核对第17页；仅含2c表格、2d未完成填空对话和2e动词填空日记，不是完整文章，剔除。
pepj8a-003	pepj8a	1	3	Section A	name‛s Paul. Where did you go on	19	19	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-003	逐项核对第19页；只有口语提示、Self Check填空对话及未完成动词填空短文，不是完整文章，剔除。
pepj8a-004	pepj8a	2	4	Section A	Jack and Claire's Weekly Plans	21	21	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8a-004	逐行核对第21页；仅保留2d完整角色对话，恢复11轮发言并重拟标题，排除2a至2c听力及表格练习。
pepj8a-005	pepj8a	2	5	Section A	How often do you exercise? UNIT 2	22	22	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-005	逐项核对第22页；只有Grammar Focus和3a至3c例句、填空、表格及调查提示，不是完整文章，剔除。
pepj8a-006	pepj8a	2	6	Section A	How often do you exercise? UNIT 2	26	26	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-006	逐项核对第26页；3a报告仍含7个频率副词空格，3b至3c是表格和写作提示，无完整文章，剔除。
pepj8a-007	pepj8a	3	7	Section B	Should Friends Be the Same or Different?	32	32	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj8a-007	逐行核对第32页；按印刷顺序恢复三位作者的完整观点及署名，修正标题和Section，排除2a练习。
pepj8a-008	pepj8a	4	8	Section A	Greg's New Neighborhood	37	37	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8a-008	逐行核对第37页；仅保留2d完整角色对话，恢复8轮发言并重拟标题，排除2a至2b听力调查及未完成2c示例。
pepj8a-009	pepj8a	4	9	Section B	Who's Got Talent?	40	40	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8a-009	逐行核对第40页；恢复2b三段完整阅读正文，修正标题和Section，排除2a口语提示及2b问题。
pepj8a-010	pepj8a	4	10	Section A	What's the best movie theater? UNIT 4	42	42	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-010	逐项核对第42页；3a文章仍含4个最高级形式空格，3b至3c是规划表和写作提示，无完整文章，剔除。
pepj8a-011	pepj8a	5	11	Section B	Mickey Mouse: A Symbol of American Culture	48	48	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8a-011	逐行核对第48页；恢复2b三段完整正文，因原文无独立标题而补充描述性元数据标题，修正Section并排除2a讨论题。
pepj8a-012	pepj8a	5	12	Section A	Do you want to watch a game show? UNIT 5	50	50	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-012	逐项核对第50页；3a《Mulan》影评仍含10个空格，3b至3c是笔记和写作提示，无完整文章，剔除。
pepj8a-013	pepj8a	6	13	Section A	I'm going to study computer science. UNIT 6	56	56	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-013	逐项核对第56页；2b为句子插入练习，正文保留4处未决空格；不代做答案、不伪造完整文本，剔除。
pepj8a-014	pepj8a	7	14	Section A	Do you think	60	60	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-014	逐项核对第60页；仅为单元导入漫画气泡、预测清单及听说提示，无完整阅读语篇或连贯长对话，剔除。
pepj8a-015	pepj8a	7	15	Section B	Do You Think You Will Have Your Own Robot?	64	64	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8a-015	逐行核对第64页；恢复带印刷标题的四段完整正文，修正Section，排除2a及正文上方段落匹配题。
pepj8a-016	pepj8a	7	16	Section A	2c Read the article again quickly. Complete the sentences about what robots	65	65	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-016	逐项核对第65页；仅含2c句子补全、2d段落填空和2e开放写作提示，没有新增完整文章，剔除。
pepj8a-017	pepj8a	7	17	Section A	Will people have robots? UNIT 7	66	66	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-017	逐项核对第66页；3a Jill未来生活短文仍有10个空格，3b至3c是规划表和写作提示，无完整文章，剔除。
pepj8a-018	pepj8a	7	18	Section A	dictionaries because a robot will	67	67	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-018	逐项核对第67页；仅含单元项目、Self Check分类及填空，母女对话未完成，不是完整连贯对话，剔除。
pepj8a-019	pepj8a	8	19	Section A	How to Make Russian Soup	69	69	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8a-019	逐行核对第69页；仅保留2d完整角色对话，恢复6轮发言和全部配料数量并重拟标题，排除听力表格及未完成2c示例。
pepj8a-020	pepj8a	8	20	Section B	Thanksgiving in North America	72	72	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	7	content/pep-english/reviewed-corrections.json#pepj8a-020	逐行核对第72页；恢复两段节日背景、食谱引言和5个有序步骤，修复标题断词与Section，排除2a及2b指令。
pepj8a-021	pepj8a	8	21	Section A	How do you make a banana milk shake? UNIT 8	74	74	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-021	逐项核对第74页；3a云南米线食谱仍有8个空格，3b至3c是构思与写作提示，无完整文章，剔除。
pepj8a-022	pepj8a	9	22	Section A	Jeff Invites Nick to Meet Sam	77	77	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8a-022	逐行核对第77页；仅保留2d完整角色对话，恢复6轮发言并重拟标题，排除听力、表格及2c示例。
pepj8a-023	pepj8a	9	23	Section B	Invitation to the New Library Opening	82	82	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj8a-023	逐行核对第82页；恢复完整邀请函的称呼、日期时间、请求及署名，重拟标题并修正Section，排除理解题和写作提示。
pepj8a-024	pepj8a	9	24	Section A	calendar on the right. MONDAY FRIDAY	83	83	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-024	逐项核对第83页；只有日历信息差任务、未完成示例对话及Self Check填空/拒绝练习，无完整语篇，剔除。
pepj8a-025	pepj8a	10	25	Section A	Planning Food and Games for the Party	85	85	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8a-025	逐行核对第85页；仅保留2d完整角色对话，恢复5轮发言并重拟标题，排除听力问题及未完成2c示例。
pepj8a-026	pepj8a	10	26	Section A	If you go to the party, you'll have a great time! UNIT 10	86	86	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-026	逐项核对第86页；Grammar Focus后Tina来信仍是动词填空，另有句子及接龙写作提示，无完整文章，剔除。
pepj8a-027	pepj8a	10	27	Section B	Talking Helps Solve Problems	88	88	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj8a-027	逐行核对第88页；恢复三段完整正文及全部引语，因原文无独立标题补充描述性元数据标题，修正Section并排除提示与选项。
pepj8a-028	pepj8a	8	28	Section B	""" bu(t) that 's no(t) my dog."""	121	121	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-028	逐项核对第121页；为语音附录，含带语调符号的pepj8a-019重复对话、童谣及孤立重音例句，不是独立文章，剔除。
pepj8a-029	pepj8a	10	29	Section B	often for get ｜ that their parents have more ex perience, ｜ and are always there	122	122	text	24fcd352dca21a6ee547539f550ed35c	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8a-029	逐项核对第122页；为语音附录，含pepj8a-027带重音符号的重复节选、孤立对比对话及谚语，不是独立完整文章，剔除。
pepj8b-001	pepj8b	1	1	Section A	Bus Driver and Passengers Save an Old Man	12	12	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8b-001	逐行核对第12页；恢复三段新闻体正文及引语，修正Section，排除3a指令、3b和3c练习。
pepj8b-002	pepj8b	2	2	Section A	Students Who Volunteer	20	20	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	4	content/pep-english/reviewed-corrections.json#pepj8b-002	逐行核对第20页；恢复导语及两位学生完整志愿经历与引语，排除3a指令和3b至3c练习。
pepj8b-003	pepj8b	2	3	Section B	Ben Smith's Thank-You Letter to Miss Li	23	23	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	7	content/pep-english/reviewed-corrections.json#pepj8b-003	逐行核对第23页；恢复称呼、四段正文、引语与署名的完整感谢信，重拟标题，排除2a/2b提示及词性侧栏。
pepj8b-004	pepj8b	3	4	Section A	Nancy Learns to Share the Housework	28	28	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	7	content/pep-english/reviewed-corrections.json#pepj8b-004	逐行核对第28页；按印刷顺序恢复完整叙事与全部对话，补充描述性标题并修正Section，排除3a问题及3b至3c练习。
pepj8b-005	pepj8b	3	5	Section B	Should Young People Do Chores at Home?	31	31	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	7	content/pep-english/reviewed-corrections.json#pepj8b-005	逐行核对第31页；恢复两封观点相反的完整来信、称呼、引语和署名，重拟标题并修正Section，排除指令及略读侧栏。
pepj8b-006	pepj8b	4	6	Section A	Kim's Problem with Her Sister	35	35	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj8b-006	逐行核对第35页；仅保留2d完整角色对话，恢复7轮发言并重拟标题，排除听力练习及简短2c示例。
pepj8b-007	pepj8b	4	7	Section B	Maybe You Should Learn to Relax!	39	39	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj8b-007	逐行核对第39页；恢复四段完整正文及所有引语，修正标题和Section，排除2a、2b问题及词义策略侧栏。
pepj8b-008	pepj8b	5	8	Section A	The Storm Brought People Closer Together	44	44	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	4	content/pep-english/reviewed-corrections.json#pepj8b-008	逐行核对第44页；恢复完整标题与四段叙事正文，排除3a问题及3b至3c练习。
pepj8b-009	pepj8b	5	9	Section B	Do You Remember What You Were Doing?	47	47	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj8b-009	逐行核对第47页；恢复印刷标题、四段完整正文及嵌套引语，修正Section，排除2a/2b提示及阅读策略侧栏。
pepj8b-010	pepj8b	6	10	Section A	The Monkey King	52	52	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8b-010	逐行核对第52页；恢复三段完整说明文，因正文无标题补充简洁元数据标题，排除3a问题及3b至3c练习。
pepj8b-011	pepj8b	6	11	Section A	Write some key words from each scene. Then discuss your answers with	57	57	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8b-011	逐项核对第57页；只有场景关键词、未完成Hansel and Gretel摘要及Self Check句子/动词填空，无完整文章，剔除。
pepj8b-012	pepj8b	7	12	Section A	Qomolangma — the Most Dangerous Mountain in the World?	60	60	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8b-012	逐行核对第60页；恢复准确印刷标题和三段完整正文，排除3a匹配提示及3b至3c练习。
pepj8b-013	pepj8b	7	13	Section B	Pandas at the Chengdu Research Base	63	63	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	7	content/pep-english/reviewed-corrections.json#pepj8b-013	逐行核对第63页；恢复四段完整正文、数据和饲养员引语，补充描述性标题并修正Section，排除指令、问题及扫描侧栏。
pepj8b-014	pepj8b	8	14	Section A	Robinson Crusoe on the Island	68	68	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8b-014	逐行核对第68页；恢复两段完整第一人称节选，补充描述性标题，排除3a问题及3b至3c练习。
pepj8b-015	pepj8b	8	15	Section B	A Country Music Song Changed Her Life Forever	71	71	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8b-015	逐行核对第71页；恢复准确印刷标题、三段完整正文、引语和数据，排除2a/2b指令及摘要策略侧栏。
pepj8b-016	pepj8b	9	16	Section A	Three Interesting Museums	76	76	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	6	content/pep-english/reviewed-corrections.json#pepj8b-016	逐行核对第76页；恢复三位学生署名的完整博物馆介绍，补充描述性标题并修正Section，排除3a问题及3b至3c练习。
pepj8b-017	pepj8b	9	17	Section B	Yes, l've been to a science museum./	77	77	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	removed-nonarticle	Codex visual review	2026-07-22	1	content/pep-english/reviewed-corrections.json#pepj8b-017	逐项核对第77页；仅含Grammar Focus、动词填空对话、未完成Disneyland短文及调查表，无完整语篇，剔除。
pepj8b-018	pepj8b	9	18	Section B	Singapore — A Place You Will Never Forget!	79	79	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8b-018	逐行核对第79页；恢复准确印刷标题和四段完整旅行介绍，排除2a/2b指令及笔记策略侧栏。
pepj8b-019	pepj8b	10	19	Section A	My children are growing up fast. My daughter is 16 and my	84	84	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8b-019	逐行核对第84页；恢复三段完整报刊短文，排除3a指令及3b/3c练习。
pepj8b-020	pepj8b	10	20	Section A	Using Previous Knowledge	87	87	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8b-020	逐行核对第87页；恢复Hometown Feelings标题和四段正文，纠正Section B并排除2a问题及阅读策略框。
pepj8b-021	pepj8b	6	21	Section B	John: What were you doing at the time of	110	110	ocr	21d35e04f1c22b74a3fe3e95e88adff9	high	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj8b-021	逐行核对第110页；恢复跨双栏完整听力对话，纠正为Unit 5 Section B并排除相邻听力原文。
pepj9-001	pepj9	1	1	Section A	2a Listen and check Questions Answers	16	16	text	c6e628c22e0c2f9cfe4547699a1c95a4	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj9-001	逐行核对第16页；仅保留2d完整角色对话，排除2a题表、2b答案碎片、2c示例和全部活动指令。
pepj9-002	pepj9	1	2	Section A	How can we become good learners? UNIT 1	17	17	text	c6e628c22e0c2f9cfe4547699a1c95a4	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj9-002	逐行核对第17页；恢复印刷标题和三段完整正文，排除3a问题、Unit页眉和3b填空练习。
pepj9-003	pepj9	1	3	Reading	2a W hat good learning habits can you think of ? Make a list and discuss	20	20	text	c6e628c22e0c2f9cfe4547699a1c95a4	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj9-003	逐行核对第20页；恢复印刷标题、导语、四个小标题段和结语，排除2a/2b指令及词典策略框。
pepj9-004	pepj9	2	4	Section A	2a Listen to the conversation between Wu Ming and Harr y and circle the	24	24	text	c6e628c22e0c2f9cfe4547699a1c95a4	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj9-004	逐行核对第24页；仅保留2d清迈泼水节完整对话，排除2a选择题、2b表格、2c示例及活动指令。
pepj9-005	pepj9	2	5	Section A	I think that mooncakes are delicious! UNIT 2	25	25	text	c6e628c22e0c2f9cfe4547699a1c95a4	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj9-005	逐行核对第25页；恢复印刷标题和三段完整中秋文章，排除3a问题、3b排序及3c填空。
pepj9-006	pepj9	2	6	Section A	I wonder if they'll have the races again	26	26	text	c6e628c22e0c2f9cfe4547699a1c95a4	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj9-006	逐行核对第26页；仅保留4b完整范文信及署名，排除Grammar Focus、4a造句、4b指令和4c调查。
pepj9-007	pepj9	2	7	Section A	2a W hat do you know about	28	28	text	c6e628c22e0c2f9cfe4547699a1c95a4	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj9-007	逐行核对第28页；恢复A Christmas Carol标题和四段完整梗概，纠正Section B并排除2a/2b任务及推断策略框。
pepj9-008	pepj9	2	8	Section A	3b Write a lett er to your pen pal and tell In your letter:	30	30	text	c6e628c22e0c2f9cfe4547699a1c95a4	normal	passed	removed-nonarticle	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj9-008	逐页核对第30页；仅有写作提示、句型框、未完成复活节填空及Self Check练习，无完整范文或语篇。
pepj9-009	pepj9	3	9	Section A	2a Listen. You w ill hear some of the	32	32	text	c6e628c22e0c2f9cfe4547699a1c95a4	normal	passed	retained-corrected	Codex visual review	2026-07-22	5	content/pep-english/reviewed-corrections.json#pepj9-009	逐行核对第32页；仅保留2d完整角色对话，排除2a方向列表、2b绘图、2c示例和活动指令。
