baselineId	sequenceNo	groupId	sourceBook	bookTitle	unitNo	unitTitle	section	articleType	title	printedPageStart	printedPageEnd	pdfPageStart	pdfPageEnd	ocrPageStart	ocrPageEnd	ocrPageCount	ocrMinConfidence	ocrMeanConfidence	ocrLowConfidenceWords	ocrRotationFlags	ocrLayoutFlags	risk	riskReasons	status	disposition	startedAt	reviewer	reviewedAt	correctionCount	evidence	textSha256	eventSha256	notes
rw1-u04-b	11	rw1	NHCE4-RW1	读写教程 1	4	Social media matters	B	text-b	Staying connected	96	97	111	112	111	112	2	0.068310	0.971180	163	0	7	high	words-below-0.90:163;possible-multicolumn-pages:7;cross-page-span:7	passed	retained-reviewed	2026-07-30T01:40:31Z	Codex	2026-07-30T01:41:10Z	9	Full second read: NHCE4-RW1.pdf pages 111-112; images NHCE4-RW1_111.jpg..112.jpg; reviewed-articles/rw1-u04-b.json	24d863af471be63ae144036316666f3b9b008f007fb0736d64d7e706c5294435	08793a2825a5676eb98412fc1bea2573add71e5f89ae5569feaa8c2bb7ddbe26	全文视觉阅读及修订后复读完成；标题、7段正文、全部引文、跨栏跨页顺序和结尾与来源一致。
rw1-u04-c	12	rw1	NHCE4-RW1	读写教程 1	4	Social media matters	C	stories-of-china	Chinese people love their social media apps	103	104	118	119	118	119	2	0.068240	0.985130	8	0	2	medium	words-below-0.90:8;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T01:41:36Z	Codex	2026-07-30T01:42:06Z	8	Full second read: NHCE4-RW1.pdf pages 118-119; images NHCE4-RW1_118.jpg..119.jpg; reviewed-articles/rw1-u04-c.json	e25201dce9918a67a6b4ddfba4c72012b2e0547d2aeb94850fd1c4e62d510403	ba339d290fb0b54ce26bed180734180148480149d2575c00e50ef93bad1fabc4	全文视觉阅读及修订后复读完成；标题、6段正文、引文、中文注释、数据和结尾与来源一致。
rw1-u05-a	13	rw1	NHCE4-RW1	读写教程 1	5	Friendship across border and gender	A	text-a	Firm belief, eternal friendship	108	110	123	125	123	125	3	0.068368	0.977244	121	0	9	high	words-below-0.90:121;possible-multicolumn-pages:9;cross-page-span:9	passed	retained-reviewed	2026-07-30T01:43:04Z	Codex	2026-07-30T01:43:46Z	9	Full second read: NHCE4-RW1.pdf pages 123-125; images NHCE4-RW1_123.jpg..125.jpg; reviewed-articles/rw1-u05-a.json	b54f4b6e685bcc51176f285cbb2fe34081f08d4a9afa17fd0b3255a701556f63	6cd0c81dc230ea779e33e75d4afa5eb571ba97711e1ab12472f14302a7e77e56	全文视觉阅读及修订后复读完成；标题、9段正文、人名、书名、引文、跨栏跨页顺序和结尾与来源一致。
rw1-u05-b	14	rw1	NHCE4-RW1	读写教程 1	5	Friendship across border and gender	B	text-b	Gender variables in friendship: Contradiction or not?	121	123	136	138	136	138	3	0.069181	0.975412	133	0	5	high	words-below-0.90:133;possible-multicolumn-pages:5;cross-page-span:8	passed	retained-reviewed	2026-07-30T01:44:22Z	Codex	2026-07-30T01:45:03Z	8	Full second read: NHCE4-RW1.pdf pages 136-138; images NHCE4-RW1_136.jpg..138.jpg; reviewed-articles/rw1-u05-b.json	21040ce66271ac0dc07ec87f2afada06309f3268efc3729d383054e92c9c3b4d	4bf8f4b9f063b1b579435718159214740e9d3fa9969e98b7f9428b9faa7a8af3	全文视觉阅读及修订后复读完成；标题、6段正文、对话、拟声词、人名、书名和结尾与来源一致。
rw1-u05-c	15	rw1	NHCE4-RW1	读写教程 1	5	Friendship across border and gender	C	stories-of-china	Picture this: Friends forever	129	130	144	145	144	145	2	0.073411	0.986448	8	0	2	medium	words-below-0.90:8;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T01:46:19Z	Codex	2026-07-30T01:46:47Z	8	NHCE4-RW1 PDF pages 144-145; images 144-145; reviewed-articles/rw1-u05-c.json	23e14ee98722ccdb952dfcc958f28b40f5f11da1de387737c41f0e62bca1e5d8	0bf16b4ec77970495176ade6ee4c7bb9c4fbc9f9c717d8498bc6cecbbe6b0a25	完成逐页视觉校对与修订后全文复读；单篇签字通过。
rw1-u06-a	16	rw1	NHCE4-RW1	读写教程 1	6	Winning is not everything	A	text-a	Cliff Young, an extraordinary runner	134	136	149	151	149	151	3	0.126844	0.987627	11	0	3	high	words-below-0.90:11;possible-multicolumn-pages:3;cross-page-span:3	passed	retained-reviewed	2026-07-30T01:49:52Z	Codex	2026-07-30T01:50:45Z	10	NHCE4-RW1 PDF pages 149-151; images 149-151; reviewed-articles/rw1-u06-a.json	b228dade2422e571289d4dd21efe4f4f56f155e225c2c5fde11cc4d36c9bf54a	722a88f32d6941a333e6bb776a61f87c2463999a2387dbfba82e0cd19192b9f6	完成逐页视觉校对与修订后全文复读；单篇签字通过。
rw1-u06-b	17	rw1	NHCE4-RW1	读写教程 1	6	Winning is not everything	B	text-b	Shaping young lives with sports	147	149	162	164	162	164	3	0.104560	0.988728	5	0	1	medium	words-below-0.90:5;possible-multicolumn-pages:1;cross-page-span:3	passed	retained-reviewed	2026-07-30T01:51:53Z	Codex	2026-07-30T01:52:27Z	9	NHCE4-RW1 PDF pages 162-164; images 162-164; reviewed-articles/rw1-u06-b.json	3e2fc1a9f39b55f05ba7e030f36f481ba5e0803267eefbb3a8a0c5a972cd50d4	d09217cc5afa6fd94793aea0aeb2580573bc466f17627ddd0832b340a1d501a9	完成逐页视觉校对与修订后全文复读；单篇签字通过。
rw1-u06-c	18	rw1	NHCE4-RW1	读写教程 1	6	Winning is not everything	C	stories-of-china	Lessons China can teach us about fitness	155	156	170	171	170	171	2	0.068304	0.985581	5	0	2	medium	words-below-0.90:5;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T01:53:32Z	Codex	2026-07-30T01:53:59Z	8	NHCE4-RW1 PDF pages 170-171; images 170-171; reviewed-articles/rw1-u06-c.json	12f302159e1fea932409d24177b016528f7878df3606c1eea61c96a91b7585d3	63d0d83a0f2a07312421af3b813d9ce558377c5be897e09436743a4eff5439a7	完成逐页视觉校对与修订后全文复读；单篇签字通过。
rw2-u01-a	19	rw2	NHCE4-RW2	读写教程 2	1	Language in mission	A	text-a	An impressive English lesson	4	6	19	21	19	21	3	0.616686	0.988378	8	0	3	medium	words-below-0.90:8;possible-multicolumn-pages:3;cross-page-span:3	passed	retained-reviewed	2026-07-30T01:59:11Z	Codex	2026-07-30T01:59:52Z	10	NHCE4-RW2 PDF pages 19-21; images 19-21; reviewed-articles/rw2-u01-a.json	3d0f9c12ecf25671c49135482818d15fc6fe8273b1f90534fead36662c71434b	ea53c3fd2df5c290791a0a6260ebaf09fd52599af41d386ed8ae676c184c0ef8	完成逐页视觉校对与修订后全文复读；单篇签字通过。
rw2-u01-b	20	rw2	NHCE4-RW2	读写教程 2	1	Language in mission	B	text-b	The great journey of learning	18	19	33	34	33	34	2	0.667359	0.988842	8	0	2	medium	words-below-0.90:8;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T02:00:44Z	Codex	2026-07-30T02:01:23Z	10	NHCE4-RW2 PDF pages 33-34; images 33-34; reviewed-articles/rw2-u01-b.json	52415cbe5f40114fdcd1fc15ec818787592ce934b58e5741197ff06a05a55a5d	96a3755fd0d69a6785e706807c7117ac71286b57b0dc17cb2adc279aca407e54	完成逐页视觉校对与修订后全文复读；单篇签字通过。
rw2-u01-c	21	rw2	NHCE4-RW2	读写教程 2	1	Language in mission	C	stories-of-china	What challenges learners of Chinese?	25	26	40	41	40	41	2	0.071915	0.979997	12	0	2	high	words-below-0.90:12;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T02:02:57Z	Codex	2026-07-30T02:03:23Z	9	NHCE4-RW2 PDF pages 40-41; images NHCE4-RW2_40.jpg and NHCE4-RW2_41.jpg; reviewed-articles/rw2-u01-c.json	e8ffdd196c881f5ced9ad04a3b0034ecc3d2e07ff4997e1f5e225831d4ed5313	7c78a787a4751d8cb0baf62347d39b25bface29662ca3b16cc6b06dbf7f09296	Single-sign full visual review completed; Translation exercise excluded.
rw2-u02-a	22	rw2	NHCE4-RW2	读写教程 2	2	Exploring college majors	A	text-a	The road to my major	30	32	45	47	45	47	3	0.068240	0.987979	13	0	3	high	words-below-0.90:13;possible-multicolumn-pages:3;cross-page-span:3	passed	retained-reviewed	2026-07-30T02:04:38Z	Codex	2026-07-30T02:05:13Z	10	NHCE4-RW2 PDF pages 45-47; images NHCE4-RW2_45.jpg..47.jpg; reviewed-articles/rw2-u02-a.json	f6aa519f6c06c457d856d7f233dd56abeb5f0f08372ed9759dceec892a7d7a96	33f215ff4f9bc00189a2c969db240f88980e32d02e39890ed49f3033c78b384b	Single-sign full visual review completed.
rw2-u02-b	23	rw2	NHCE4-RW2	读写教程 2	2	Exploring college majors	B	text-b	The humanities: out of date?	44	45	59	60	59	60	2	0.812119	0.990860	4	0	2	medium	words-below-0.90:4;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T02:06:18Z	Codex	2026-07-30T02:06:54Z	9	NHCE4-RW2 PDF pages 59-60; images NHCE4-RW2_59.jpg and NHCE4-RW2_60.jpg; reviewed-articles/rw2-u02-b.json	134a59ea66d5a316e32931e085c7cbe5c8f1dab598899df8ff0a35340f26844f	da0c13076db2b043b588536a8633ad34c3c51e752996093c7547ecee0decd060	Single-sign full visual review completed.
rw2-u02-c	24	rw2	NHCE4-RW2	读写教程 2	2	Exploring college majors	C	stories-of-china	From a security guard to a university teacher	51	52	66	67	66	67	2	0.514392	0.991061	3	0	2	medium	words-below-0.90:3;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T02:07:31Z	Codex	2026-07-30T02:08:03Z	10	NHCE4-RW2 PDF pages 66-67; images NHCE4-RW2_66.jpg and NHCE4-RW2_67.jpg; reviewed-articles/rw2-u02-c.json	bc9642c559d6f0e9cdd47ca6d36669eee48316131723a80e254807bd9896a6fc	f40a416c1887725d7e73466e0b18ae9178072177d90591f450c2315398c52ccb	Single-sign full visual review completed; Translation excluded.
rw2-u03-a	25	rw2	NHCE4-RW2	读写教程 2	3	The young generation: making a difference	A	text-a	The young generation – the future of China	57	58	72	73	72	73	2	0.412307	0.988251	7	0	2	medium	words-below-0.90:7;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T02:08:48Z	Codex	2026-07-30T02:09:25Z	9	NHCE4-RW2 PDF pages 72-73; images NHCE4-RW2_72.jpg and NHCE4-RW2_73.jpg; reviewed-articles/rw2-u03-a.json	db566e0465e2793e07597b4114c631c098308a8f8d51c127798817c7b3f49966	e70cddc18ee585caef59939affcbd866e70d112bb5c84d22cb096ca206b92af2	Single-sign full visual review completed.
rw2-u03-b	26	rw2	NHCE4-RW2	读写教程 2	3	The young generation: making a difference	B	text-b	Understanding the young generation	69	71	84	86	84	86	3	0.735320	0.990610	5	0	2	medium	words-below-0.90:5;possible-multicolumn-pages:2;cross-page-span:3	passed	retained-reviewed	2026-07-30T02:10:14Z	Codex	2026-07-30T02:10:57Z	9	NHCE4-RW2 PDF pages 84-86; images NHCE4-RW2_84.jpg..86.jpg; reviewed-articles/rw2-u03-b.json	c0296db2a711403603a5eb69473d1031bf62ee4b5f5519947cb1e1956f7d040f	508f3b32228e34aa9aa980bfca27ebfce77df4987ce6e3afae4c42ffa1867008	Single-sign full visual review completed; Prediction boxes and Culture notes excluded.
rw2-u03-c	27	rw2	NHCE4-RW2	读写教程 2	3	The young generation: making a difference	C	stories-of-china	Aiming to bring agriculture online	77	78	92	93	92	93	2	0.068233	0.985187	9	0	2	medium	words-below-0.90:9;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T02:11:29Z	Codex	2026-07-30T02:12:04Z	9	NHCE4-RW2 PDF pages 92-93; images NHCE4-RW2_92.jpg and NHCE4-RW2_93.jpg; reviewed-articles/rw2-u03-c.json	1718433c6b2f9a50a0ffd8773a2ea360b137fe0725eb41f59cf2dee53311f9cb	13cd6a0cc16ce78678d0512450f90ba2106ae4120a0dd16df3afd647e2f43688	Single-sign full visual review completed; Translation excluded.
rw2-u04-a	28	rw2	NHCE4-RW2	读写教程 2	4	Mission and exploration of our time	A	text-a	Huang Danian, a strategic scientist	82	84	97	99	97	99	3	0.560208	0.989822	8	0	3	medium	words-below-0.90:8;possible-multicolumn-pages:3;cross-page-span:3	passed	retained-reviewed	2026-07-30T02:14:27Z	Codex	2026-07-30T02:15:15Z	9	Full second read: NHCE4-RW2.pdf pages 97-99; images NHCE4-RW2_97.jpg..99.jpg; reviewed-articles/rw2-u04-a.json	2302776c36a154a564abe0cd087f7aa49c769c236c7b62cd455f5f74efc0079c	44f001245fe7693c706486da56c8c486dc0a5c06a30365b3ed1c3b9f220e6562	Full text reread from opening film event through exceptional achievements; title, 12 paragraphs, quotations, page order, and 82-84 boundary confirmed.
rw2-u04-b	29	rw2	NHCE4-RW2	读写教程 2	4	Mission and exploration of our time	B	text-b	Journey through the odyssey years	95	97	110	112	110	112	3	0.756004	0.990614	3	0	2	medium	words-below-0.90:3;possible-multicolumn-pages:2;cross-page-span:3	passed	retained-reviewed	2026-07-30T02:16:03Z	Codex	2026-07-30T02:19:08Z	8	Full second read: NHCE4-RW2.pdf pages 110-112; images NHCE4-RW2_110.jpg..112.jpg; reviewed-articles/rw2-u04-b.json	80978ea85c0ee253a3d3a7e0f1149e69cf0f6480bf0c4a4b0cf87b22d8a4dac3	322247652d3adeae55f62e1f98a11b5a8c7334f33880dde0b65dd7b3da98a87d	Full text reread from phases of life through the odyssey years; title, 11 paragraphs, punctuation, and 95-97 boundary confirmed; Culture notes excluded.
rw2-u04-c	30	rw2	NHCE4-RW2	读写教程 2	4	Mission and exploration of our time	C	stories-of-china	The May Fourth spirit alive in China	103	104	118	119	118	119	2	0.069129	0.983111	10	0	2	high	words-below-0.90:10;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T02:19:57Z	Codex	2026-07-30T02:20:52Z	9	Full second read: NHCE4-RW2.pdf pages 118-119; images NHCE4-RW2_118.jpg..119.jpg; reviewed-articles/rw2-u04-c.json	395dcc4c596366895b7ba03a05d4ab62b77312c70a05c12e95f7c999d10b4fc1	7c7042f166cca69a42e3a0500049f9a0835cd12b91ace0af9157cd193a99adf7	Full text reread from the May Fourth Movement through motivation to the Chinese youth; title, six paragraphs, column order, glosses, and 103-104 boundary confirmed.
rw2-u05-a	31	rw2	NHCE4-RW2	读写教程 2	5	Striving for financial health	A	text-a	Spend or save – the student’s dilemma	108	110	123	125	123	125	3	0.293373	0.987833	10	0	3	high	words-below-0.90:10;possible-multicolumn-pages:3;cross-page-span:3	passed	retained-reviewed	2026-07-30T02:21:40Z	Codex	2026-07-30T02:22:56Z	9	Full second read: NHCE4-RW2.pdf pages 123-125; images NHCE4-RW2_123.jpg..125.jpg; reviewed-articles/rw2-u05-a.json	f31ba2fba232824005eea66fc2bca908763c92ef13f0f09337f9c38f33ca8b74	5a9c0f9e1dbeda3bd6ccbc408eeddee506c03236fd6d2e0c6ee3df28b168982b	Full text reread from the spend/save question through choppy waters; title, nine paragraphs, quotations, order, and 108-110 boundary confirmed.
rw2-u05-b	32	rw2	NHCE4-RW2	读写教程 2	5	Striving for financial health	B	text-b	A $3,000 dictionary	122	124	137	139	137	139	3	0.232317	0.989161	6	0	3	medium	words-below-0.90:6;possible-multicolumn-pages:3;cross-page-span:3	passed	retained-reviewed	2026-07-30T02:23:45Z	Codex	2026-07-30T02:25:13Z	9	Full second read: NHCE4-RW2.pdf pages 137-139; images NHCE4-RW2_137.jpg..139.jpg; reviewed-articles/rw2-u05-b.json	fb61d84862b9bd633f0e627a4325cc40176d11a38e41d3a1973e35ea9d9b4885	16ed8b5c5294bb0e506e7860c401c4454d3c5af625e7410aaa33b4fedfacea38	Full text reread from semester opening through the ,000 dictionary conclusion; title, 10 paragraphs, order, and 122-124 boundary confirmed; Culture notes excluded.
rw2-u05-c	33	rw2	NHCE4-RW2	读写教程 2	5	Striving for financial health	C	stories-of-china	Project Hope	131	132	146	147	146	147	2	0.207643	0.988925	6	0	2	medium	words-below-0.90:6;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T02:26:22Z	Codex	2026-07-30T02:27:12Z	4	PDF 146-147; original JPEGs; reviewed-articles/rw2-u05-c.json; full beginning-to-end reread	29cb199546b2e3827bfd8e5d02a33375248abda2e069380986e65ffbc66129d5	b52e70025b16826171b9a41f66e9e35cd75956256a5bedb2a7bce25f1a5fdece	Single-article full visual review completed and signed as Codex.
rw2-u06-a	34	rw2	NHCE4-RW2	读写教程 2	6	Less is more	A	text-a	Door closer, are you?	136	138	151	153	151	153	3	0.581913	0.990399	7	0	3	medium	words-below-0.90:7;possible-multicolumn-pages:3;cross-page-span:3	passed	retained-reviewed	2026-07-30T02:28:16Z	Codex	2026-07-30T02:29:25Z	4	PDF 151-153; original JPEGs; reviewed-articles/rw2-u06-a.json; full beginning-to-end reread	8783714b96f88510ccd303e62fe5ea781fe0e5d985329a30bdadafd201691ffc	cfbfbc9f5a0650e08e97252b320e13899d3533b1f561e9fb136cc8bfc4ef43f8	Single-article full visual review completed and signed as Codex.
rw2-u06-b	35	rw2	NHCE4-RW2	读写教程 2	6	Less is more	B	text-b	When enough is enough	151	153	166	168	166	168	3	0.645222	0.988549	8	0	2	medium	words-below-0.90:8;possible-multicolumn-pages:2;cross-page-span:3	passed	retained-reviewed	2026-07-30T02:30:15Z	Codex	2026-07-30T02:31:24Z	4	PDF 166-168; original JPEGs; reviewed-articles/rw2-u06-b.json; full beginning-to-end reread	2f85d508115c44377f4245bc6eed9124fb68023bfd9a116366a9cbfef537ac66	36539bcfcd76bb36a0f400fa35e1ca4a4babfa750db466271ab61f5de7f6104a	Single-article full visual review completed and signed as Codex.
rw2-u06-c	36	rw2	NHCE4-RW2	读写教程 2	6	Less is more	C	stories-of-china	A boom in shopping malls	159	160	174	175	174	175	2	0.069389	0.988672	4	0	2	medium	words-below-0.90:4;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T02:31:54Z	Codex	2026-07-30T02:32:25Z	4	PDF 174-175; original JPEGs; reviewed-articles/rw2-u06-c.json; full beginning-to-end reread	0ef13f194b3ff7610c42b1041d55de48cffbd6b7961dfa522480dfd71525906b	e09149d703e92e827660fac89e96a275401a77b59e86c52369d8571da356feb9	Single-article full visual review completed and signed as Codex.
rw3-u01-a	37	rw3	NHCE4-RW3	读写教程 3	1	The digital age: Are we ready?	A	text-a	Connection or conversation	5	7	20	22	20	22	3	0.068425	0.985788	16	0	2	high	words-below-0.90:16;possible-multicolumn-pages:2;cross-page-span:3	passed	retained-reviewed	2026-07-30T02:33:53Z	Codex	2026-07-30T16:41:01Z	4	PDF 20-22; original JPEGs; reviewed-articles/rw3-u01-a.json; full beginning-to-end reread	3a3107892253f5620ed2a8d001d36e179dd0b7ac3f45f9ff76a279eb93a6acfd	0f781bed5bbc44dfe4de1bf29b362aa30c1cecf7c11728ce812320e1a6a98ede	Single-article full visual review completed and signed as Codex.
rw3-u01-b	38	rw3	NHCE4-RW3	读写教程 3	1	The digital age: Are we ready?	B	text-b	Living in the digital world	20	21	35	36	35	36	2	0.164128	0.989499	7	0	2	medium	words-below-0.90:7;possible-multicolumn-pages:2;cross-page-span:2	passed	retained-reviewed	2026-07-30T16:46:24Z	Codex	2026-07-30T16:47:11Z	4	PDF35-36/印刷20-21；原图 NHCE4-RW3_35.jpg,NHCE4-RW3_36.jpg；最终稿 content/College-English/reviewed-articles/rw3-u01-b.json	21e4d675c50d02b2f7bf86884cfcdceb97afb80a51eb2d19e3c1a1de2d911bd4	ab2c0cfd161faa35f68a866f06ceb09d851e7dc778285af7b5205e17004b23b9	逐页逐行视觉核对并全文复读完成，标题、9段正文、边界和段落顺序均与教材一致。
